,Date of sale,Address,Price,No. rooms,Living area,Plot size
1211, 19 oktober 2020,Länsmansvägen 28, 4850000kr,5rum,"('128', '')",678m² 
1212, 16 oktober 2020,Nordön 180, 2995000kr,7rum,"('144', '')",1007m² 
1213, 15 oktober 2020,Skårby 985, 4150000kr,5rum,"('133', '18')",3700m² 
1214, 13 oktober 2020,Brunskär 510, 6545000kr,8rum,"('162', '')",1215m² 
1215, 13 oktober 2020,Kastellegårdsvägen 220, 2900000kr,6rum,"('30', '30')",932m² 
1216, 10 oktober 2020,Norrmannebo 110, 3800000kr,5rum,"('221', '10')",548m² 
1217, 9 oktober 2020,Heden 220, 4500000kr,5rum,"('80', '')",823m² 
1218, 8 oktober 2020,Gustavsbergsvägen 16, 4800000kr,6rum,"('115', '37')",250m² 
1219, 7 oktober 2020,Bergsvägen 28, 3775000kr,7rum,"('56', '2')",588m² 
1220, 7 oktober 2020,Korpvägen 263, 4500000kr,5rum,"('192', '56')",1344m² 
1221, 1 oktober 2020,Hemvägen 48, 4300000kr,6rum,"('126', '25')",573m² 
1222, 30 september 2020,Häljeröd 640, 3930000kr,4rum,"('165', '')",1506m² 
1223, 29 september 2020,Stenåldersgatan 55, 4995000kr,5rum,"('104', '')",800m² 
1224, 28 september 2020,Krokebäcksvägen 95, 5950000kr,3rum,"('150', '42')",402m² 
1225, 28 september 2020,Björröd 260, 8500000kr,4rum,"('129', '')",274m² 
1226, 26 september 2020,Vävra 105, 2900000kr,7rum,"('108', '136')",4320m² 
1227, 26 september 2020,Högsberg 355, 6400000kr,5rum,"('120', '74')",1024m² 
1228, 25 september 2020,Rådjursgatan 8, 3100000kr,5rum,"('120', '')",1680m² 
1229, 24 september 2020,Skålgropsgatan 28, 4500000kr,6rum,"('107', '8')",402m² 
1230, 24 september 2020,Tjärnstigen 10, 2530000kr,5rum,"('104', '40')",1815m² 
1231, 24 september 2020,Grepvägen 385, 5700000kr,6rum,"('120', '')",84425m² 
1232, 23 september 2020,Kyrkeby 302, 5600000kr,4rum,"('120', '68')",2855m² 
1233, 22 september 2020,Tvetgatan 143, 5900000kr,2rum,"('181', '')",2056m² 
1234, 21 september 2020,Grandalen 230, 3760000kr,3rum,"('96', '')",238m² 
1235, 21 september 2020,Hammarhöjden 700, 4400000kr,5rum,"('48', '20')",2899m² 
1236, 20 september 2020,Holm 241, 2700000kr,5rum,"('209', '47')",1729m² 
1237, 18 september 2020,Torsby 270, 4600000kr,5rum,"('152', '34')",893m² 
1238, 17 september 2020,Lerskärsvägen 52, 5615000kr,4rum,"('118', '')",1020m² 
1239, 16 september 2020,Korsgatan 3, 3995000kr,4rum,"('156', '36')",908m² 
1240, 16 september 2020,Blekeliden 6, 3440000kr,4rum,"('198', '')",312m² 
1241, 15 september 2020,Rörtången 273, 4100000kr,6rum,"('137', '73')",1408m² 
1242, 13 september 2020,Råckeröd 180, 3520000kr,6rum,"('119', '75')",1446m² 
1243, 11 september 2020,Krokebäcksvägen 85, 4220000kr,5rum,"('128', '5')",972m² 
1244, 11 september 2020,Guddeby 210, 4650000kr,5rum,"('121', '')",403m² 
1245, 10 september 2020,Hallbjörtorp 330, 4415000kr,6rum,"('131', '13')",2787m² 
1246, 10 september 2020,Glöskär 875, 3525000kr,5rum,"('73', '')",484m² 
1247, 9 september 2020,Risby 400, 5500000kr,5rum,"('115', '166')",602m² 
1248, 9 september 2020,Hemmansgatan 7, 6700000kr,3rum,"('124', '')",805m² 
1249, 9 september 2020,Hemvägen 7, 4795000kr,7rum,"('117', '151')",1941m² 
1250, 21 augusti 2019,Ulvesund 296, 3875000kr,5rum,"('164', '12')",410m² 
1251, 20 augusti 2019,Torsby 250, 3380000kr,5rum,"('130', '90')",405m² 
1252, 19 augusti 2019,Åkerhög 340, 5300000kr,5rum,"('125', '80')",1662m² 
1253, 16 augusti 2019,Rondan 13, 5400000kr,6rum,"('191', '107')",1945m² 
1254, 16 augusti 2019,Blåsippegatan 12, 2900000kr,6rum,"('142', '')",1085m² 
1255, 16 augusti 2019,Bergsvägen 4, 4455000kr,6rum,"('86', '')",574m² 
1256, 16 augusti 2019,Veneröd 439, 3750000kr,2rum,"('65', '')",3244m² 
1257, 15 augusti 2019,Lefstadvägen 31, 4275000kr,6rum,"('68', '16')",2957m² 
1258, 14 augusti 2019,Silvergnejsvägen 18, 3330000kr,4rum,"('120', '30')",3315m² 
1259, 13 augusti 2019,Apelvägen 10, 1900000kr,6rum,"('125', '')",1784m² 
