,Date of sale,Address,Price,No. rooms,Living area,Plot size
1878, 26 februari 2015,, 2750000kr,5rum,"('140', '')",1330m² 
1879, 26 februari 2015,, 2400000kr,8rum,"('149', '14')",404m² 
1880, 21 februari 2015,, 3200000kr,4rum,"('124', '45')",1434m² 
1881, 13 februari 2015,, 3495000kr,5rum,"('244', '72')",1150m² 
1882, 13 februari 2015,, 3050000kr,7rum,"('120', '')",1227m² 
1883, 12 februari 2015,, 2450000kr,4rum,"('131', '')",806m² 
1884, 12 februari 2015,, 3315000kr,3rum,"('187', '')",986m² 
1885, 11 februari 2015,, 3400000kr,5rum,"('121', '37')",798m² 
1886, 10 februari 2015,, 3425000kr,10rum,"('110', '49')",1062m² 
1887, 3 februari 2015,, 4700000kr,8rum,"('106', '9')",376m² 
1888, 28 januari 2015,, 1900000kr,4rum,"('110', '')",2868m² 
1889, 21 januari 2015,, 3810000kr,6rum,"('143', '112')",3030m² 
1890, 18 januari 2015,, 2600000kr,5rum,"('126', '')",834m² 
1891, 16 januari 2015,, 2950000kr,4rum,"('90', '')",849m² 
1892, 16 januari 2015,, 3400000kr,5rum,"('95', '140')",1375m² 
1893, 14 januari 2015,, 3395000kr,4rum,"('65', '74')",1734m² 
1894, 13 januari 2015,, 4000000kr,7rum,"('127', '10')",600m² 
1895, 11 januari 2015,, 3760000kr,6rum,"('120', '88')",1121m² 
1896, 2 januari 2015,, 2600000kr,5rum,"('110', '80')",1175m² 
1897, 20 december 2014,, 2995000kr,4rum,"('120', '90')",769m² 
1898, 12 december 2014,, 4050000kr,6rum,"('159', '62')",2269m² 
1899, 4 december 2014,, 4450000kr,6rum,"('65', '')",299m² 
1900, 20 april 2021,, 7400000kr,4rum,"('177', '60')",1499m² 
1901, 20 april 2021,, 7150000kr,2rum,"('66', '20')",4859m² 
1902, 19 april 2021,, 8900000kr,4rum,"('120', '')",903m² 
1903, 16 april 2021,, 7700000kr,4rum,"('104', '8')",138m² 
1904, 16 april 2021,, 5350000kr,8rum,"('123', '41')",288m² 
1905, 16 april 2021,, 4610000kr,4rum,"('84', '44')",1434m² 
1906, 15 april 2021,, 8100000kr,4rum,"('100', '50')",1927m² 
1907, 15 april 2021,, 4925000kr,4rum,"('104', '')",1038m² 
1908, 15 april 2021,, 4025000kr,6rum,"('237', '118')",1438m² 
1909, 14 april 2021,, 4750000kr,5rum,"('60', '60')",560m² 
1910, 13 april 2021,, 3725000kr,3rum,"('157', '16')",1194m² 
1911, 13 april 2021,, 7750000kr,7rum,"('140', '96')",996m² 
1912, 12 april 2021,, 4700000kr,2rum,"('100', '')",1180m² 
1913, 8 april 2021,, 7500000kr,3rum,"('59', '16')",865m² 
1914, 8 april 2021,, 3770000kr,5rum,"('104', '')",1441m² 
1915, 4 april 2021,, 4350000kr,4rum,"('317', '71')",2086m² 
1916, 2 april 2021,, 5400000kr,6rum,"('184', '54')",578m² 
1917, 1 april 2021,, 3465000kr,3rum,"('99', '')",25370m² 
1918, 1 april 2021,, 2980000kr,2rum,"('141', '')",1076m² 
1919, 1 april 2021,, 3700000kr,5rum,"('5', '')",1158m² 
1920, 26 mars 2021,, 5500000kr,4rum,"('112', '')",740m² 
1921, 25 mars 2021,, 2375000kr,,"('122', '')",635m² 
1922, 25 mars 2021,, 3900000kr,,"('102', '7')",333m² 
1923, 23 mars 2021,, 7700000kr,,"('154', '18')",914m² 
1924, 22 mars 2021,, 3800000kr,,"('175', '35')",735m² 
1925, 19 mars 2021,, 3900000kr,,"('160', '')",1339m² 
1926, 18 mars 2021,, 3900000kr,,"('80', '')",1860m² 
1927, 18 mars 2021,, 5350000kr,,"('174', '14')",1815m² 
1928, 17 mars 2021,, 5620000kr,,"('120', '45')",2081m² 
1929, 17 mars 2021,, 3850000kr,,"('62', '')",928m² 
1930, 16 mars 2021,, 4050000kr,,"('37', '')",1411m² 
1931, 16 mars 2021,, 3120000kr,,"('123', '45')",612m² 
1932, 16 mars 2021,, 4400000kr,,"('118', '')",2230m² 
1933, 16 mars 2021,, 3850000kr,,"('150', '')",780m² 
1934, 16 mars 2021,, 6100000kr,,"('107', '')",4215m² 
1935, 15 mars 2021,, 3315000kr,,"('92', '60')",459m² 
1936, 12 mars 2021,, 1600000kr,,"('95', '3')",688m² 
1937, 11 mars 2021,, 5100000kr,,"('110', '68')",11627m² 
1938, 10 mars 2021,, 5250000kr,,"('107', '5')",1455m² 
1939, 3 mars 2021,, 6850000kr,,"('65', '15')",1263m² 
1940, 2 mars 2021,, 4350000kr,,"('160', '80')",263m² 
1941, 27 februari 2021,, 5300000kr,,"('45', '')",1300m² 
1942, 27 februari 2021,, 9200000kr,,"('70', '')",860m² 
1943, 25 februari 2021,, 3000000kr,,"('122', '')",446m² 
1944, 24 februari 2021,, 4725000kr,,"('128', '32')",1696m² 
1945, 22 februari 2021,, 3700000kr,,"('185', '36')",1661m² 
1946, 18 februari 2021,, 5750000kr,,"('65', '65')",262m² 
1947, 15 februari 2021,, 7400000kr,,"('61', '')",
1948, 12 februari 2021,, 15800000kr,,"('140', '50')",
1949, 11 februari 2021,, 3700000kr,,"('103', '')",
1950, 24 maj 2013,, 3075000kr,,,
1951, 24 maj 2013,, 1850000kr,,,
1952, 23 maj 2013,, 1385000kr,,,
1953, 23 maj 2013,, 595000kr,,,
1954, 16 maj 2013,, 2620000kr,,,
1955, 14 maj 2013,, 2770000kr,,,
1956, 9 maj 2013,, 2800000kr,,,
1957, 8 maj 2013,, 2630000kr,,,
1958, 30 april 2013,, 2500000kr,,,
1959, 30 april 2013,, 3200000kr,,,
1960, 30 april 2013,, 2610000kr,,,
1961, 21 april 2013,, 2775000kr,,,
1962, 18 april 2013,, 2150000kr,,,
1963, 17 april 2013,, 3400000kr,,,
1964, 17 april 2013,, 1600000kr,,,
1965, 13 april 2013,, 1550000kr,,,
1966, 11 april 2013,, 3300000kr,,,
1967, 10 april 2013,, 3250000kr,,,
1968, 8 april 2013,, 4100000kr,,,
1969, 21 mars 2013,, 2825000kr,,,
1970, 20 mars 2013,, 1480000kr,,,
1971, 8 mars 2013,, 3330000kr,,,
1972, 26 februari 2013,, 2725000kr,,,
